Phi,k,N_equilibrium
1.0,0.112,0.9451350000000001
1.0,0.113,0.947577
1.0,0.114,0.9500299999999999
1.0,0.115,0.952493
1.0,0.116,0.954965
1.0,0.117,0.957448
1.0,0.118,0.9599409999999999
1.0,0.119,0.9624440000000001
1.0,0.12,0.964957
1.0,0.121,0.9674809999999999
1.0,0.122,0.970015
1.0,0.123,0.9725600000000001
1.0,0.124,0.975115
1.0,0.125,0.9776799999999999
1.0,0.126,0.9802559999999999
1.0,0.127,0.982843
1.0,0.128,0.985441
1.0,0.129,0.988049
1.0,0.13,0.990669
1.0,0.131,0.9932989999999999
1.0,0.132,0.995941
1.0,0.133,0.9985930000000001
1.0,0.134,1.00126
1.0,0.135,1.00393
1.0,0.136,1.00662
1.0,0.137,1.00932
1.0,0.138,1.01203
1.0,0.139,1.01475
1.0,0.14,1.01748
1.0,0.141,1.0202200000000001
1.0,0.142,1.02298
1.0,0.143,1.02575
1.0,0.144,1.02853
1.0,0.145,1.03132
1.0,0.146,1.0341200000000002
1.0,0.147,1.03694
1.0,0.148,1.03977
1.0,0.149,1.04261
1.0,0.15,1.04546
1.0,0.151,1.0483200000000001
1.0,0.152,1.0512
1.0,0.153,1.05409
1.0,0.154,1.057
1.0,0.155,1.0599100000000001
1.0,0.156,1.06284
1.0,0.157,1.06578
1.0,0.158,1.06874
1.0,0.159,1.07171
1.0,0.16,1.07469
1.0,0.161,1.07768
1.0,0.162,1.08069
1.0,0.163,1.08371
1.0,0.164,1.08675
1.0,0.165,1.0898
1.0,0.166,1.09286
1.0,0.167,1.0959299999999998
1.0,0.168,1.09903
1.0,0.169,1.1021299999999998
1.0,0.17,1.10525
1.0,0.171,1.10838
1.0,0.172,1.11153
1.0,0.173,1.11469
1.0,0.174,1.1178700000000001
1.0,0.175,1.12106
1.0,0.176,1.12426
1.0,0.177,1.12748
1.0,0.178,1.1307200000000002
1.0,0.179,1.1339700000000001
1.0,0.18,1.13724
1.0,0.181,1.14052
1.0,0.182,1.14381
1.0,0.183,1.14713
1.0,0.184,1.15045
1.0,0.185,1.1538
1.0,0.186,1.15716
1.0,0.187,1.1605299999999998
1.0,0.188,1.16392
1.0,0.189,1.16733
1.0,0.19,1.17075
1.0,0.191,1.17419
1.0,0.192,1.17765
1.0,0.193,1.1811200000000002
1.0,0.194,1.18461
1.0,0.195,1.18812
1.0,0.196,1.19165
1.0,0.197,1.19519
1.0,0.198,1.19874
1.0,0.199,1.20232
1.0,0.2,1.20591
1.0,0.201,1.2095200000000002
1.0,0.202,1.21315
1.0,0.203,1.2168
1.0,0.204,1.22046
1.0,0.205,1.22415
1.0,0.206,1.22785
1.0,0.207,1.23157
1.0,0.208,1.2353
1.0,0.209,1.23906
1.0,0.21,1.24284
1.0,0.211,1.24663
1.0,0.212,1.25044
1.0,0.213,1.2542799999999998
1.0,0.214,1.25813
1.0,0.215,1.262
1.0,0.216,1.26589
1.0,0.217,1.2698
1.0,0.218,1.2737399999999999
1.0,0.219,1.27769
1.0,0.22,1.28166
1.0,0.221,1.28565
1.0,0.222,1.28966
1.0,0.223,1.2937
1.0,0.224,1.29775
1.0,0.225,1.3018299999999998
1.0,0.226,1.30593
1.0,0.227,1.31005
1.0,0.228,1.31419
1.0,0.229,1.31835
1.0,0.23,1.32253
1.0,0.231,1.32674
1.0,0.232,1.33097
1.0,0.233,1.33522
1.0,0.234,1.33949
1.0,0.235,1.34379
1.0,0.236,1.3481100000000001
1.0,0.237,1.35245
1.0,0.238,1.3568200000000001
1.0,0.239,1.36121
1.0,0.24,1.36562
1.0,0.241,1.37006
1.0,0.242,1.37452
1.0,0.243,1.37901
1.0,0.244,1.38352
1.0,0.245,1.38806
1.0,0.246,1.39262
1.0,0.247,1.39721
1.0,0.248,1.40182
1.0,0.249,1.40645
1.0,0.25,1.4111200000000002
1.0,0.251,1.41581
1.0,0.252,1.42052
1.0,0.253,1.42527
1.0,0.254,1.43003
1.0,0.255,1.4348299999999998
1.0,0.256,1.43965
1.0,0.257,1.4445
1.0,0.258,1.44938
1.0,0.259,1.4542899999999999
1.0,0.26,1.4592200000000002
1.0,0.261,1.46418
1.0,0.262,1.46917
1.0,0.263,1.47419
1.0,0.264,1.4792399999999999
1.0,0.265,1.48432
1.0,0.266,1.48943
1.0,0.267,1.4945700000000002
1.0,0.268,1.49974
1.0,0.269,1.5049299999999999
1.0,0.27,1.51016
1.0,0.271,1.51542
1.0,0.272,1.52072
1.0,0.273,1.52604
1.0,0.274,1.53139
1.0,0.275,1.53678
1.0,0.276,1.5422
1.0,0.277,1.54765
1.0,0.278,1.55314
1.0,0.279,1.55865
1.0,0.28,1.56421
1.0,0.281,1.56979
1.0,0.282,1.57541
1.0,0.283,1.58107
1.0,0.284,1.58675
1.0,0.285,1.59248
1.0,0.286,1.5982399999999999
1.0,0.287,1.6040299999999998
1.0,0.288,1.60986
1.0,0.289,1.6157299999999999
1.0,0.29,1.62164
1.0,0.291,1.62758
1.0,0.292,1.6335600000000001
1.0,0.293,1.63958
1.0,0.294,1.64563
1.0,0.295,1.65173
1.0,0.296,1.65786
1.0,0.297,1.66403
1.0,0.298,1.6702400000000002
1.0,0.299,1.6765
1.0,0.3,1.6827900000000002
1.0,0.301,1.6891200000000002
1.0,0.302,1.6955
1.0,0.303,1.7019099999999998
1.0,0.304,1.7083700000000002
1.0,0.305,1.7148700000000001
1.0,0.306,1.7214200000000002
1.0,0.307,1.7280000000000002
1.0,0.308,1.7346400000000002
1.0,0.309,1.74131
1.0,0.31,1.74803
1.0,0.311,1.7548
1.0,0.312,1.76161
1.0,0.313,1.76846
1.0,0.314,1.7753700000000001
1.0,0.315,1.7823200000000001
1.0,0.316,1.78931
1.0,0.317,1.79636
1.0,0.318,1.80345
1.0,0.319,1.8106
1.0,0.32,1.8177900000000002
1.0,0.321,1.82503
1.0,0.322,1.83233
1.0,0.323,1.8396700000000001
1.0,0.324,1.84706
1.0,0.325,1.8545099999999999
1.0,0.326,1.86201
1.0,0.327,1.8695700000000002
1.0,0.328,1.87717
1.0,0.329,1.88483
1.0,0.33,1.89255
1.0,0.331,1.90032
1.0,0.332,1.90815
1.0,0.333,1.9160400000000002
1.0,0.334,1.92398
1.0,0.335,1.93198
1.0,0.336,1.9400400000000002
1.0,0.337,1.94816
1.0,0.338,1.95633
1.0,0.339,1.9645700000000001
1.0,0.34,1.9728700000000001
1.0,0.341,1.9812299999999998
1.0,0.342,1.9896599999999998
1.0,0.343,1.99815
1.0,0.344,2.0067
1.0,0.345,2.01531
1.0,0.346,2.024
1.0,0.347,2.03275
1.0,0.348,2.04156
1.0,0.349,2.05044
1.0,0.35,2.0594
