,Phi,k,N_equilibrium
391,2.7,0.71,8.764980000000001e+54
392,2.9,0.71,1.1568600000000001e+55
393,3.1,0.71,1.49574e+55
394,3.3,0.71,1.8996300000000003e+55
395,3.5,0.71,2.37468e+55
396,3.7,0.71,2.92747e+55
397,3.9,0.71,3.56396e+55
398,9.7,0.05,7.86457
399,9.9,0.05,8.02673
400,0.1,0.055,0.0820499
401,0.3,0.055,0.24615
402,0.5,0.055,0.410249
403,0.7,0.055,0.574349
404,0.9,0.055,0.738449
405,1.1,0.055,0.9025479999999999
406,1.3,0.055,1.06665
407,1.5,0.055,1.23075
408,1.7,0.055,1.39485
409,1.9,0.055,1.55895
410,10.1,0.055,8.28704
411,10.3,0.055,8.451139999999999
412,10.5,0.055,8.61524
413,2.1,0.055,1.72305
414,2.3,0.055,1.88715
415,2.5,0.055,2.05125
416,7.9,0.52,51.3683
417,8.1,0.52,52.6688
418,8.3,0.52,53.9692
419,8.5,0.52,55.2697
420,8.7,0.52,56.5702
421,8.9,0.52,57.8706
422,9.1,0.52,59.1711
423,9.3,0.52,60.4715
424,9.5,0.52,61.772
425,9.7,0.52,63.0725
426,9.9,0.52,64.3729
427,0.1,0.525,0.690483
428,0.3,0.525,2.07145
429,0.5,0.525,3.4524199999999996
430,0.7,0.525,4.83338
431,6.1,0.615,1.16376e+37
432,6.3,0.615,1.47124e+37
433,6.5,0.615,1.83653e+37
434,6.7,0.615,2.2659700000000003e+37
435,6.9,0.615,2.7659000000000003e+37
436,7.1,0.615,3.34297e+37
437,7.3,0.615,4.00351e+37
438,7.5,0.615,4.754480000000001e+37
439,7.7,0.615,5.601650000000001e+37
440,7.9,0.615,6.552360000000001e+37
441,8.1,0.615,7.61213e+37
442,8.3,0.615,8.787580000000001e+37
443,8.5,0.615,1.0084600000000001e+38
444,8.7,0.615,1.15086e+38
445,8.9,0.615,1.30661e+38
446,0.5,0.43,1.54978
447,0.7,0.43,2.16969
448,0.9,0.43,2.7896
449,1.1,0.43,3.40951
450,1.3,0.43,4.02942
451,1.5,0.43,4.6493400000000005
452,1.7,0.43,5.26925
453,1.9,0.43,5.8891599999999995
454,10.1,0.43,31.3055
455,10.3,0.43,31.9254
456,10.5,0.43,32.5453
457,2.1,0.43,6.5090699999999995
458,2.3,0.43,7.12898
459,2.5,0.43,7.748889999999999
460,2.7,0.43,8.3688
461,2.9,0.43,8.988719999999999
462,3.1,0.43,9.60863
463,3.3,0.43,10.2285
464,6.3,0.24,8.60343
465,6.5,0.24,8.876560000000001
466,6.7,0.24,9.14968
467,6.9,0.24,9.42281
468,7.1,0.24,9.69593
469,7.3,0.24,9.96906
470,7.5,0.24,10.2422
471,7.7,0.24,10.5153
472,7.9,0.24,10.7884
473,8.1,0.24,11.0616
474,8.3,0.24,11.3347
475,8.5,0.24,11.6078
476,8.7,0.24,11.8809
477,8.9,0.24,12.1541
478,9.1,0.24,12.4272
479,3.3,0.335,6.37553
480,3.5,0.335,6.76193
481,3.7,0.335,7.14832
482,3.9,0.335,7.53472
483,4.1,0.335,7.9211100000000005
484,4.3,0.335,8.30751
485,4.5,0.335,8.6939
486,4.7,0.335,9.0803
487,4.9,0.335,9.4667
488,5.1,0.335,9.85309
489,5.3,0.335,10.2395
490,5.5,0.335,10.6259
491,5.7,0.335,11.0123
492,5.9,0.335,11.3987
493,6.1,0.335,11.7851
494,6.7,0.755,7.07423e+64
495,6.9,0.755,7.711550000000001e+64
496,7.1,0.755,8.381440000000001e+64
497,7.3,0.755,9.085670000000001e+64
498,7.5,0.755,9.823940000000001e+64
499,7.7,0.755,1.05969e+65
500,7.9,0.755,1.14041e+65
501,8.1,0.755,1.2248300000000001e+65
502,8.3,0.755,1.31274e+65
503,8.5,0.755,1.40417e+65
504,8.7,0.755,1.49929e+65
505,8.9,0.755,1.5980200000000003e+65
506,9.1,0.755,1.70039e+65
507,9.3,0.755,1.80643e+65
508,9.5,0.755,1.9161500000000002e+65
509,3.5,0.43,10.8484
510,6.7,0.43,20.767
511,9.9,0.43,30.6856
512,3.1,0.435,9.90857
513,6.3,0.435,20.1368
514,9.5,0.435,30.365
515,2.7,0.44,8.90673
516,5.9,0.44,19.4629
517,9.1,0.44,30.019000000000002
518,2.3,0.445,7.837280000000001
519,5.5,0.445,18.7413
520,8.7,0.445,29.6454
521,1.9,0.45,6.69383
522,5.1,0.45,17.9676
523,7.9,0.07,6.72082
524,5.9,0.095,5.3398699999999995
525,3.9,0.12,3.7633300000000003
526,8.3,0.145,8.55994
527,6.3,0.17,6.96307
528,4.1,0.2,4.94424
529,5.7,0.245,7.91193
530,3.7,0.27,5.58761
531,1.7,0.295,2.80793
532,6.3,0.335,12.1715
533,4.3,0.36,9.25734
534,2.3,0.385,5.57305
535,0.3,0.43,0.929867
536,8.3,0.45,29.2415
537,6.3,0.475,26.6496
538,0.9,0.525,6.21435
539,8.9,0.545,81.3681
540,6.9,0.57,3.61019e+25
541,9.1,0.615,1.4762e+38
542,7.1,0.64,5.4313900000000003e+42
543,5.1,0.665,1.32126e+47
544,2.5,0.69,6.2092900000000006e+50
545,6.9,0.715,2.41747e+57
546,9.7,0.755,2.02956e+65
547,4.3,0.71,5.11283e+55
548,4.5,0.71,6.03722e+55
549,4.7,0.71,7.069070000000001e+55
550,4.9,0.71,8.21452e+55
551,5.1,0.71,9.47887e+55
552,5.3,0.71,1.0867100000000001e+56
553,5.5,0.71,1.2384e+56
554,5.7,0.71,1.4036000000000002e+56
555,5.9,0.71,1.58263e+56
556,6.1,0.71,1.77591e+56
557,6.3,0.71,1.98397e+56
558,6.5,0.71,2.20733e+56
559,6.7,0.71,2.4461900000000004e+56
560,6.9,0.71,2.70096e+56
561,7.1,0.71,2.97229e+56
562,2.9,0.055,2.37945
563,3.1,0.055,2.54355
564,3.3,0.055,2.70765
565,3.5,0.055,2.87175
566,3.7,0.055,3.0358400000000003
567,3.9,0.055,3.1999400000000002
568,4.1,0.055,3.36404
569,4.3,0.055,3.52814
570,4.5,0.055,3.69224
571,4.7,0.055,3.8563400000000003
572,4.9,0.055,4.02044
573,5.1,0.055,4.18454
574,5.3,0.055,4.3486400000000005
575,5.5,0.055,4.51274
576,5.7,0.055,4.67684
577,9.3,0.615,1.66014e+38
578,9.5,0.615,1.85895e+38
579,9.7,0.615,2.0730300000000002e+38
580,9.9,0.615,2.30306e+38
581,0.1,0.62,219547.0
582,0.3,0.62,3.01729e+17
583,0.5,0.62,4.03431e+22
584,0.7,0.62,4.93713e+25
585,0.9,0.62,6.58831e+27
586,1.1,0.62,2.47289e+29
587,1.3,0.62,4.13235e+30
588,1.5,0.62,3.96863e+31
589,1.7,0.62,2.55856e+32
590,1.9,0.62,1.22464e+33
591,10.1,0.62,2.64605e+39
592,10.3,0.62,2.9062700000000003e+39
593,10.5,0.62,3.1826800000000005e+39
594,2.1,0.62,4.66163e+33
595,1.1,0.525,7.5953100000000004
596,1.3,0.525,8.976280000000001
597,1.5,0.525,10.3572
598,1.7,0.525,11.7382
599,1.9,0.525,13.1192
600,10.1,0.525,69.7388
601,10.3,0.525,71.1198
602,10.5,0.525,72.5007
603,2.1,0.525,14.5001
604,2.3,0.525,15.8811
605,2.5,0.525,17.2621
606,2.7,0.525,18.643
607,2.9,0.525,20.024
608,3.1,0.525,21.405
609,3.3,0.525,22.7859
610,3.5,0.525,24.1669
611,3.7,0.525,25.5479
612,3.9,0.525,26.9288
613,3.7,0.43,11.4684
614,3.9,0.43,12.0883
615,4.1,0.43,12.7082
616,4.3,0.43,13.3281
617,4.5,0.43,13.948
618,4.7,0.43,14.5679
619,4.9,0.43,15.1878
620,5.1,0.43,15.8077
621,5.3,0.43,16.4277
622,5.5,0.43,17.0476
623,5.7,0.43,17.6675
624,5.9,0.43,18.2874
625,6.1,0.43,18.9073
626,6.3,0.43,19.5272
627,6.5,0.43,20.1471
628,6.5,0.335,12.5579
629,6.7,0.335,12.9443
630,6.9,0.335,13.3307
631,7.1,0.335,13.717
632,7.3,0.335,14.1034
633,7.5,0.335,14.4898
634,7.7,0.335,14.8762
635,7.9,0.335,15.2626
636,8.1,0.335,15.649000000000001
637,8.3,0.335,16.0354
638,8.5,0.335,16.4218
639,8.7,0.335,16.8082
640,8.9,0.335,17.1946
641,9.1,0.335,17.581
642,9.3,0.335,17.9674
643,9.5,0.24,12.9734
644,9.7,0.24,13.2466
645,9.9,0.24,13.5197
646,0.1,0.245,0.13880599999999998
647,0.3,0.245,0.416418
648,0.5,0.245,0.694029
649,0.7,0.245,0.971641
650,0.9,0.245,1.24925
651,1.1,0.245,1.52686
652,1.3,0.245,1.8044799999999999
653,1.5,0.245,2.08209
654,1.7,0.245,2.3597
655,1.9,0.245,2.63731
656,10.1,0.245,14.0194
657,10.3,0.245,14.297
658,10.5,0.245,14.5746
659,2.1,0.245,2.91492
660,2.3,0.245,3.19253
661,9.9,0.755,2.1466500000000003e+65
662,0.1,0.76,1.32959e+60
663,0.3,0.76,3.11978e+61
664,0.5,0.76,1.56582e+62
665,0.7,0.76,4.64465e+62
666,0.9,0.76,1.0531699999999999e+63
667,1.1,0.76,2.0284300000000004e+63
668,1.3,0.76,3.49981e+63
669,1.5,0.76,5.57888e+63
670,1.7,0.76,8.37954e+63
671,1.9,0.76,1.20135e+64
672,10.1,0.76,1.88498e+66
673,10.3,0.76,1.98741e+66
674,10.5,0.76,2.09274e+66
675,2.1,0.76,1.65923e+64
676,2.3,0.76,2.2224800000000003e+64
677,2.5,0.76,2.90198e+64
678,2.7,0.76,3.70807e+64
679,7.5,0.71,3.56492e+56
680,7.7,0.71,3.88678e+56
681,7.9,0.71,4.22651e+56
682,8.1,0.71,4.58367e+56
683,8.3,0.71,4.95945e+56
684,8.5,0.71,5.353e+56
685,8.7,0.71,5.7657300000000006e+56
686,8.9,0.71,6.1967900000000004e+56
687,9.1,0.71,6.6461800000000005e+56
688,9.3,0.71,7.115850000000001e+56
689,9.5,0.71,7.604070000000001e+56
690,9.7,0.71,8.111940000000001e+56
691,9.9,0.71,8.63897e+56
692,0.1,0.715,2.2707700000000002e+50
693,0.3,0.715,1.3598100000000002e+52
694,6.1,0.055,5.00504
695,6.3,0.055,5.1691400000000005
696,6.5,0.055,5.33324
697,6.7,0.055,5.49734
698,6.9,0.055,5.66144
699,7.1,0.055,5.82554
700,7.3,0.055,5.9896400000000005
701,7.5,0.055,6.15374
702,7.7,0.055,6.31784
703,7.9,0.055,6.48194
704,8.1,0.055,6.646039999999999
705,8.3,0.055,6.81014
706,8.5,0.055,6.974239999999999
707,8.7,0.055,7.1383399999999995
708,8.9,0.055,7.30244
709,4.3,0.525,29.6908
710,4.5,0.525,31.0717
711,4.7,0.525,32.4527
712,4.9,0.525,33.8337
713,5.1,0.525,35.2146
714,5.3,0.525,36.5956
715,5.5,0.525,37.9766
716,5.7,0.525,39.3575
717,5.9,0.525,40.7385
718,6.1,0.525,42.1195
719,6.3,0.525,43.5004
720,6.5,0.525,44.8814
721,6.7,0.525,46.2624
722,6.9,0.525,47.6433
723,7.1,0.525,49.0243
724,2.5,0.62,4.07194e+34
725,2.7,0.62,9.94337e+34
726,2.9,0.62,2.20118e+35
727,3.1,0.62,4.48814e+35
728,3.3,0.62,8.53543e+35
729,3.5,0.62,1.52934e+36
730,3.7,0.62,2.60293e+36
731,3.9,0.62,4.23694e+36
732,4.1,0.62,6.63231e+36
733,4.3,0.62,1.00313e+37
734,4.5,0.62,1.47175e+37
735,4.7,0.62,2.10158e+37
736,4.9,0.62,2.92941e+37
737,5.1,0.62,3.9956100000000003e+37
738,5.3,0.62,5.34416e+37
739,6.9,0.43,21.3869
740,7.1,0.43,22.0069
741,7.3,0.43,22.6268
742,7.5,0.43,23.2467
743,7.7,0.43,23.8666
744,7.9,0.43,24.4865
745,8.1,0.43,25.1064
746,8.3,0.43,25.7263
747,8.5,0.43,26.3462
748,8.7,0.43,26.9661
749,8.9,0.43,27.5861
750,9.1,0.43,28.206
751,9.3,0.43,28.8259
752,9.5,0.43,29.4458
753,9.7,0.43,30.0657
754,2.7,0.245,3.74776
755,2.9,0.245,4.02537
756,3.1,0.245,4.302980000000001
757,3.3,0.245,4.58059
758,3.5,0.245,4.8582
759,3.7,0.245,5.13582
760,3.9,0.245,5.41343
761,4.1,0.245,5.69104
762,4.3,0.245,5.96865
763,4.5,0.245,6.2462599999999995
764,4.7,0.245,6.52388
765,4.9,0.245,6.801489999999999
766,5.1,0.245,7.0791
767,5.3,0.245,7.3567100000000005
768,5.5,0.245,7.63432
769,9.7,0.335,18.7402
770,9.9,0.335,19.1266
771,0.1,0.34,0.197287
772,0.3,0.34,0.591862
773,0.5,0.34,0.9864360000000001
774,0.7,0.34,1.38101
775,0.9,0.34,1.77558
776,1.1,0.34,2.1701599999999996
777,1.3,0.34,2.56473
778,1.5,0.34,2.95931
779,1.7,0.34,3.35388
780,1.9,0.34,3.7484599999999997
781,10.1,0.34,19.926
